pid,age,gender,HOME_ZIPCODE,persons,income,HID,bin
352183531,75,2,35640,2,2,106612138,1
352184865,54,2,35640,2,2,106612688,2
352184827,69,2,35640,2,2,106612677,1
354645104,68,2,36092,2,2,107638554,3
354645171,35,2,36092,4,1,107638582,2
354645196,70,2,36092,2,2,107638589,1
354645023,18,2,36092,3,1,107638528,3
354645280,77,2,36092,2,1,107638618,1
351701460,30,2,35757,5,2,106416850,1
351700666,39,2,35757,3,3,106416587,2
351700466,71,2,35757,2,2,106416515,1
351700932,47,2,35757,4,3,106416675,2
351701143,44,2,35757,2,2,106416741,2
351700802,49,2,35757,2,3,106416632,1
351702085,35,2,35757,4,3,106417060,2
351702290,25,2,35757,3,3,106417128,1
354220502,59,2,36374,2,2,107460672,3
354219838,18,2,36374,3,3,107460362,3
355565748,40,2,36371,4,2,108010683,1
355565605,25,2,36371,2,2,108010619,3
355565835,52,2,36371,2,2,108010719,3
355565552,70,2,36371,1,1,108010598,2
355565762,36,2,36371,2,2,108010690,1
355565608,40,2,36371,3,3,108010620,2
355566001,49,2,36371,2,3,108010791,1
354220746,40,2,36311,1,1,107460780,1
354221520,35,2,36311,3,2,107461097,3
354221187,33,2,36311,3,1,107460968,1
354221698,60,2,36311,2,1,107461174,2
354822853,58,2,36460,1,1,107710564,1
354822067,34,2,36460,4,3,107710243,3
354822461,57,2,36460,1,1,107710406,1
354822569,42,2,36460,4,3,107710453,1
354822362,47,2,36460,3,3,107710365,3
354825157,40,2,36460,5,3,107711422,3
354644757,50,2,36092,3,1,107638432,3
354644717,33,2,36092,3,3,107638417,1
354644697,42,2,36092,2,3,107638409,1
354644703,57,2,36092,2,3,107638411,3
352229333,54,2,35594,2,3,106630841,2
352228638,53,2,35594,3,2,106630576,2
352228194,68,2,35594,2,1,106630411,3
352228859,28,2,35594,3,1,106630658,2
352228153,77,2,35594,2,2,106630393,1
352228158,53,2,35594,3,3,106630396,2
351701950,37,2,35757,1,2,106417018,1
351700383,41,2,35757,4,2,106416484,1
351701779,63,2,35757,2,3,106416962,1
351702438,40,2,35757,1,3,106417182,1
351700163,57,2,35757,1,3,106416405,1
351700474,42,2,35757,2,2,106416518,1
354221686,60,2,36311,2,2,107461168,2
354220997,27,2,36311,3,2,107460885,3
354220874,38,2,36311,4,1,107460836,1
354221736,21,2,36311,1,1,107461190,2
354220727,49,2,36311,2,2,107460770,1
354220839,22,2,36311,2,1,107460822,1
354221690,42,2,36311,1,2,107461170,1
354221248,70,2,36311,2,2,107460994,1
354221175,23,2,36311,1,1,107460962,2
354221487,30,2,36311,2,1,107461087,2
354221335,43,2,36311,2,2,107461024,2
354825111,82,2,36460,1,2,107711405,1
354824942,18,2,36460,4,3,107711339,3
354825240,25,2,36460,4,2,107711447,2
354824514,42,2,36460,2,3,107711193,1
354823740,20,2,36460,4,3,107710907,3
354824285,34,2,36460,2,2,107711110,1
355312255,57,2,36559,3,1,107905106,2
355312837,50,2,36559,1,1,107905346,1
355312611,18,2,36559,3,3,107905255,3
355311994,74,2,36559,2,3,107904994,1
355314691,63,2,36559,2,3,107906092,1
355312786,61,2,36559,4,2,107905327,2
355311815,57,2,36559,1,2,107904919,1
355311803,59,2,36559,2,2,107904914,3
355312057,24,2,36559,4,1,107905023,2
355314693,62,2,36559,1,1,107906093,2
355312421,25,2,36559,1,1,107905174,1
352160191,46,2,35640,2,3,106602899,1
353584925,44,2,35242,1,2,107194952,1
353585035,42,2,35242,6,3,107194997,3
353585811,34,2,35242,4,3,107195287,3
353583024,49,2,35242,2,3,107194236,1
355534671,35,2,36360,3,2,107998108,3
355535213,82,2,36360,2,1,107998370,1
355535052,36,2,36360,4,3,107998297,3
355535443,53,2,36360,1,2,107998482,1
352229303,49,2,35594,1,1,106630824,1
352228130,53,2,35594,2,2,106630382,3
352229001,45,2,35594,3,2,106630707,3
352229150,56,2,35594,2,2,106630765,3
352229705,23,2,35594,3,2,106630987,2
352228553,27,2,35594,2,2,106630544,3
353811716,27,2,35401,4,1,107287174,3
353811803,53,2,35401,3,2,107287204,2
353812044,48,2,35401,3,1,107287292,3
353811930,26,2,35401,2,1,107287250,1
353811643,28,2,35401,3,1,107287144,2
353811572,18,2,35401,3,1,107287122,3
612301976,63,2,22153,1,1,209967764,2
612304752,27,2,22153,2,3,209968843,3
612304015,59,2,22153,1,3,209968558,1
612300751,46,2,22153,6,3,209967298,3
612303069,21,2,22153,2,2,209968193,3
614945473,21,2,23234,3,2,210999280,2
614946568,84,2,23234,1,2,210999902,1
614945705,61,2,23234,2,2,210999408,2
614945343,38,2,23234,1,2,210999210,1
612932756,42,2,22193,1,2,210203514,1
612932268,43,2,22193,5,3,210203345,3
612932929,27,2,22193,5,3,210203582,2
612932412,48,2,22193,4,2,210203394,2
617080931,62,2,23452,2,3,211892408,1
617080269,43,2,23452,3,3,211892188,3
617081396,21,2,23452,5,3,211892560,3
612303128,36,2,22153,4,3,209968211,3
612301459,50,2,22153,4,3,209967563,2
612303927,21,2,22153,3,2,209968519,2
612304091,63,2,22153,3,2,209968589,2
612303243,44,2,22153,2,3,209968250,2
612303269,40,2,22153,3,3,209968259,2
614946048,19,2,23234,2,1,210999602,3
614945689,24,2,23234,1,2,210999398,2
614946113,24,2,23234,2,2,210999645,1
614945819,34,2,23234,2,2,210999471,1
614945853,45,2,23234,2,2,210999492,1
614945452,71,2,23234,2,1,210999268,1
614946136,55,2,23234,1,2,210999657,1
614946361,55,2,23234,2,2,210999785,1
615400822,74,2,24019,2,1,211181668,1
617615032,67,2,23502,1,1,212107687,2
617614677,36,2,23502,6,1,212107518,3
612931957,56,2,22193,5,2,210203242,2
612838928,78,2,20109,3,3,210171139,2
612841303,55,2,20109,2,2,210171953,1
612840649,29,2,20109,1,2,210171728,2
617081733,53,2,23452,2,3,211892673,3
617081756,55,2,23452,2,3,211892680,1
617081569,36,2,23452,2,2,211892618,1
617081712,19,2,23452,5,3,211892667,3
617081674,34,2,23452,4,3,211892654,3
617081434,58,2,23452,2,3,211892574,1
