PID,AGEP,SEX,HOME_ZIPCODE,HINCP,HID,PERSONS
352183531,75,1,35640,60000,106612138,2
352184865,54,1,35640,52000,106612688,2
352184827,69,1,35640,63600,106612677,2
354645104,68,2,36092,28100,107638554,2
354645171,35,2,36092,16400,107638582,4
354645196,70,2,36092,25900,107638589,2
354645023,18,1,36092,22000,107638528,3
354645280,77,2,36092,20900,107638618,2
351701460,30,1,35757,53000,106416850,5
351700666,39,1,35757,196000,106416587,3
351700466,71,1,35757,58000,106416515,2
351700932,47,1,35757,86000,106416675,4
351701143,44,2,35757,60000,106416741,2
351700802,49,1,35757,94700,106416632,2
351702085,35,2,35757,100000,106417060,4
351702290,25,1,35757,109000,106417128,3
354220502,59,2,36374,40500,107460672,2
354219838,18,1,36374,99200,107460362,3
355565748,40,1,36371,74800,108010683,4
355565605,25,2,36371,65000,108010619,2
355565835,52,2,36371,25800,108010719,2
355565552,70,2,36371,7900,108010598,1
355565762,36,1,36371,31000,108010690,2
355565608,40,2,36371,96000,108010620,3
355566001,49,1,36371,126400,108010791,2
354220746,40,1,36311,19000,107460780,1
354221520,35,2,36311,51000,107461097,3
354221187,33,1,36311,15900,107460968,3
354221698,60,1,36311,20000,107461174,2
354822853,58,2,36460,22800,107710564,1
354822067,34,2,36460,97000,107710243,4
354822461,57,1,36460,16900,107710406,1
354822569,42,1,36460,105500,107710453,4
354822362,47,2,36460,282000,107710365,3
354825157,40,2,36460,422150,107711422,5
354644757,50,2,36092,22400,107638432,3
354644717,33,1,36092,79400,107638417,3
354644697,42,1,36092,81500,107638409,2
354644703,57,2,36092,78350,107638411,2
352229333,54,2,35594,75000,106630841,2
352228638,53,1,35594,53700,106630576,3
352228194,68,1,35594,24900,106630411,2
352228859,28,1,35594,9950,106630658,3
352228153,77,2,35594,68140,106630393,2
352228158,53,1,35594,81600,106630396,3
351701950,37,2,35757,72000,106417018,1
351700383,41,2,35757,67000,106416484,4
351701779,63,2,35757,228100,106416962,2
351702438,40,1,35757,102000,106417182,1
351700163,57,1,35757,126000,106416405,1
351700474,42,2,35757,71700,106416518,2
354221686,60,1,36311,55001,107461168,2
354220997,27,1,36311,64000,107460885,3
354220874,38,2,36311,16300,107460836,4
354221736,21,1,36311,20000,107461190,1
354220727,49,1,36311,56100,107460770,2
354220839,22,2,36311,15900,107460822,2
354221690,42,2,36311,30500,107461170,1
354221248,70,2,36311,25600,107460994,2
354221175,23,1,36311,3300,107460962,1
354221487,30,2,36311,0,107461087,2
354221335,43,2,36311,50400,107461024,2
354825111,82,2,36460,31000,107711405,1
354824942,18,1,36460,216030,107711339,4
354825240,25,1,36460,63000,107711447,4
354824514,42,1,36460,120000,107711193,2
354823740,20,2,36460,108800,107710907,4
354824285,34,1,36460,30000,107711110,2
355312255,57,2,36559,21300,107905106,3
355312837,50,2,36559,9000,107905346,1
355312611,18,2,36559,80000,107905255,3
355311994,74,1,36559,91300,107904994,2
355314691,63,1,36559,94300,107906092,2
355312786,61,1,36559,72100,107905327,4
355311815,57,1,36559,39600,107904919,1
355311803,59,1,36559,55000,107904914,2
355312057,24,1,36559,14800,107905023,4
355314693,62,2,36559,23000,107906093,1
355312421,25,2,36559,6080,107905174,1
352160191,46,2,35640,98000,106602899,2
353584925,44,1,35242,41000,107194952,1
353585035,42,1,35242,310000,107194997,6
353585811,34,2,35242,105000,107195287,4
353583024,49,2,35242,544900,107194236,2
355534671,35,2,36360,25400,107998108,3
355535213,82,2,36360,16200,107998370,2
355535052,36,1,36360,75100,107998297,4
355535443,53,1,36360,29000,107998482,1
352229303,49,1,35594,0,106630824,1
352228130,53,2,35594,43200,106630382,2
352229001,45,2,35594,52900,106630707,3
352229150,56,2,35594,29700,106630765,2
352229705,23,1,35594,33000,106630987,3
352228553,27,1,35594,55000,106630544,2
353811716,27,2,35401,1600,107287174,4
353811803,53,1,35401,36900,107287204,3
353812044,48,2,35401,20160,107287292,3
353811930,26,2,35401,17000,107287250,2
353811643,28,2,35401,5800,107287144,3
353811572,18,2,35401,23000,107287122,3
612301976,63,2,22153,17000,209967764,1
612304752,27,2,22153,135000,209968843,2
612304015,59,2,22153,100100,209968558,1
612300751,46,2,22153,518151,209967298,6
612303069,21,2,22153,30000,209968193,2
614945473,21,2,23234,56500,210999280,3
614946568,84,2,23234,39000,210999902,1
614945705,61,2,23234,59500,210999408,2
614945343,38,2,23234,41000,210999210,1
612932756,42,1,22193,30000,210203514,1
612932268,43,2,22193,185000,210203345,5
612932929,27,2,22193,85700,210203582,5
612932412,48,2,22193,30000,210203394,4
617080931,62,2,23452,134000,211892408,2
617080269,43,2,23452,109000,211892188,3
617081396,21,1,23452,118644,211892560,5
612303128,36,1,22153,90050,209968211,4
612301459,50,1,22153,215000,209967563,4
612303927,21,1,22153,51900,209968519,3
612304091,63,1,22153,46000,209968589,3
612303243,44,1,22153,106000,209968250,2
612303269,40,2,22153,134000,209968259,3
614946048,19,2,23234,13400,210999602,2
614945689,24,2,23234,40000,210999398,1
614946113,24,2,23234,50000,210999645,2
614945819,34,1,23234,26900,210999471,2
614945853,45,1,23234,65000,210999492,2
614945452,71,2,23234,10900,210999268,2
614946136,55,2,23234,42000,210999657,1
614946361,55,2,23234,40000,210999785,2
615400822,74,1,24019,24500,211181668,2
617615032,67,2,23502,13100,212107687,1
617614677,36,2,23502,22300,212107518,6
612931957,56,1,22193,56000,210203242,5
612838928,78,1,20109,81190,210171139,3
612841303,55,2,20109,60004,210171953,2
612840649,29,1,20109,35000,210171728,1
617081733,53,2,23452,129000,211892673,2
617081756,55,2,23452,77000,211892680,2
617081569,36,2,23452,67000,211892618,2
617081712,19,2,23452,169600,211892667,5
617081674,34,2,23452,453500,211892654,4
617081434,58,1,23452,462000,211892574,2
613148762,65,2,22728,72000,210278218,2
617729931,30,1,23322,41900,212153087,2
617730035,65,1,23322,52700,212153130,1
617729558,28,1,23322,99000,212152952,4
617730553,92,2,23322,118400,212153328,3
616686959,35,1,24609,47000,211721521,2
616687315,50,2,24609,121200,211721660,3
616688040,40,1,24609,102000,211721952,2
617706793,63,2,23320,47000,212144829,2
617705062,28,2,23320,102000,212144096,4
617708302,25,2,23320,25000,212145455,2
617194304,35,2,23456,82300,211941147,4
617193648,62,1,23456,67000,211940940,3
617194588,47,1,23456,253600,211941232,4
617193955,40,2,23456,91000,211941036,4
617193455,41,2,23456,54800,211940880,2
613148073,46,1,22728,233000,210277996,2
613149097,20,1,22728,128000,210278335,3
613150723,49,2,22728,226600,210278878,4
613149776,53,1,22728,62000,210278562,2
613149529,70,1,22728,114000,210278478,2
617730923,60,2,23322,194700,212153476,2
617729403,54,2,23322,71000,212152895,3
617730106,57,2,23322,39300,212153162,2
617729302,71,1,23322,31600,212152850,2
617729323,52,1,23322,316150,212152861,4
617729683,45,2,23322,130200,212152994,3
616664245,36,1,24263,50000,211711753,1
617188882,28,1,23456,24000,211939067,2
617191278,29,2,23456,42500,211940213,2
617189871,55,2,23456,65000,211939554,1
617188643,34,2,23456,76000,211938955,3
617191413,60,2,23456,246000,211940277,2
615462587,56,2,24019,52620,211207673,2
615458985,64,1,24019,54100,211206223,2
615462949,71,2,24019,131500,211207823,2
