PID,AGEP,SEX,HOME_ZIPCODE,HINCP,HID,PERSONS,BIN
352183531,75,1,35640,2,106612138,2,1
352184865,54,1,35640,2,106612688,2,2
352184827,69,1,35640,2,106612677,2,1
354645104,68,1,36092,2,107638554,2,3
354645171,35,1,36092,1,107638582,4,2
354645196,70,1,36092,2,107638589,2,1
354645023,18,1,36092,1,107638528,3,3
354645280,77,1,36092,1,107638618,2,1
351701460,30,1,35757,2,106416850,5,1
351700666,39,1,35757,3,106416587,3,2
351700466,71,1,35757,2,106416515,2,1
351700932,47,1,35757,3,106416675,4,2
351701143,44,1,35757,2,106416741,2,2
351700802,49,1,35757,3,106416632,2,1
351702085,35,1,35757,3,106417060,4,2
351702290,25,1,35757,3,106417128,3,1
354220502,59,1,36374,2,107460672,2,3
354219838,18,1,36374,3,107460362,3,3
355565748,40,1,36371,2,108010683,4,1
355565605,25,1,36371,2,108010619,2,3
355565835,52,1,36371,2,108010719,2,3
355565552,70,1,36371,1,108010598,1,2
355565762,36,1,36371,2,108010690,2,1
355565608,40,1,36371,3,108010620,3,2
355566001,49,1,36371,3,108010791,2,1
354220746,40,1,36311,1,107460780,1,1
354221520,35,1,36311,2,107461097,3,3
354221187,33,1,36311,1,107460968,3,1
354221698,60,1,36311,1,107461174,2,2
354822853,58,1,36460,1,107710564,1,1
354822067,34,1,36460,3,107710243,4,3
354822461,57,1,36460,1,107710406,1,1
354822569,42,1,36460,3,107710453,4,1
354822362,47,1,36460,3,107710365,3,3
354825157,40,1,36460,3,107711422,5,3
354644757,50,1,36092,1,107638432,3,3
354644717,33,1,36092,3,107638417,3,1
354644697,42,1,36092,3,107638409,2,1
354644703,57,1,36092,3,107638411,2,3
352229333,54,1,35594,3,106630841,2,2
352228638,53,1,35594,2,106630576,3,2
352228194,68,1,35594,1,106630411,2,3
352228859,28,1,35594,1,106630658,3,2
352228153,77,1,35594,2,106630393,2,1
352228158,53,1,35594,3,106630396,3,2
351701950,37,1,35757,2,106417018,1,1
351700383,41,1,35757,2,106416484,4,1
351701779,63,1,35757,3,106416962,2,1
351702438,40,1,35757,3,106417182,1,1
351700163,57,1,35757,3,106416405,1,1
351700474,42,1,35757,2,106416518,2,1
354221686,60,1,36311,2,107461168,2,2
354220997,27,1,36311,2,107460885,3,2
354220874,38,1,36311,1,107460836,4,1
354221736,21,1,36311,1,107461190,1,2
354220727,49,1,36311,2,107460770,2,1
354220839,22,1,36311,1,107460822,2,1
354221690,42,1,36311,2,107461170,1,1
354221248,70,1,36311,2,107460994,2,1
354221175,23,1,36311,1,107460962,1,2
354221487,30,1,36311,1,107461087,2,2
354221335,43,1,36311,2,107461024,2,2
354825111,82,1,36460,2,107711405,1,1
354824942,18,1,36460,3,107711339,4,3
354825240,25,1,36460,2,107711447,4,2
354824514,42,1,36460,3,107711193,2,1
354823740,20,1,36460,3,107710907,4,3
354824285,34,1,36460,2,107711110,2,1
355312255,57,1,36559,1,107905106,3,2
355312837,50,1,36559,1,107905346,1,1
355312611,18,1,36559,3,107905255,3,3
355311994,74,1,36559,3,107904994,2,1
355314691,63,1,36559,3,107906092,2,1
355312786,61,1,36559,2,107905327,4,2
355311815,57,1,36559,2,107904919,1,1
355311803,59,1,36559,2,107904914,2,3
355312057,24,1,36559,1,107905023,4,2
355314693,62,1,36559,1,107906093,1,2
355312421,25,1,36559,1,107905174,1,1
352160191,46,1,35640,3,106602899,2,1
353584925,44,1,35242,2,107194952,1,1
353585035,42,1,35242,3,107194997,6,3
353585811,34,1,35242,3,107195287,4,3
353583024,49,1,35242,3,107194236,2,1
355534671,35,1,36360,2,107998108,3,3
355535213,82,1,36360,1,107998370,2,1
355535052,36,1,36360,3,107998297,4,3
355535443,53,1,36360,2,107998482,1,1
352229303,49,1,35594,1,106630824,1,1
352228130,53,1,35594,2,106630382,2,3
352229001,45,1,35594,2,106630707,3,3
352229150,56,1,35594,2,106630765,2,3
352229705,23,1,35594,2,106630987,3,2
352228553,27,1,35594,2,106630544,2,3
353811716,27,1,35401,1,107287174,4,3
353811803,53,1,35401,2,107287204,3,2
353812044,48,1,35401,1,107287292,3,3
353811930,26,1,35401,1,107287250,2,1
353811643,28,1,35401,1,107287144,3,2
353811572,18,1,35401,1,107287122,3,3
612301976,63,1,22153,1,209967764,1,2
612304752,27,1,22153,3,209968843,2,3
612304015,59,1,22153,3,209968558,1,1
612300751,46,1,22153,3,209967298,6,3
612303069,21,1,22153,2,209968193,2,1
614945473,21,1,23234,2,210999280,3,2
614946568,84,1,23234,2,210999902,1,1
614945705,61,1,23234,2,210999408,2,2
614945343,38,1,23234,2,210999210,1,1
612932756,42,1,22193,2,210203514,1,1
612932268,43,1,22193,3,210203345,5,3
612932929,27,1,22193,3,210203582,5,2
612932412,48,1,22193,2,210203394,4,2
617080931,62,1,23452,3,211892408,2,2
617080269,43,1,23452,3,211892188,3,3
617081396,21,1,23452,3,211892560,5,3
612303128,36,1,22153,3,209968211,4,3
612301459,50,1,22153,3,209967563,4,2
612303927,21,1,22153,2,209968519,3,2
612304091,63,1,22153,2,209968589,3,2
612303243,44,1,22153,3,209968250,2,2
612303269,40,1,22153,3,209968259,3,2
614946048,19,1,23234,1,210999602,2,3
614945689,24,1,23234,2,210999398,1,2
614946113,24,1,23234,2,210999645,2,1
614945819,34,1,23234,2,210999471,2,1
614945853,45,1,23234,2,210999492,2,1
614945452,71,1,23234,1,210999268,2,1
614946136,55,1,23234,2,210999657,1,1
614946361,55,1,23234,2,210999785,2,1
615400822,74,1,24019,1,211181668,2,1
617615032,67,1,23502,1,212107687,1,2
617614677,36,1,23502,1,212107518,6,3
612931957,56,1,22193,2,210203242,5,2
612838928,78,1,20109,3,210171139,3,2
612841303,55,1,20109,2,210171953,2,1
612840649,29,1,20109,2,210171728,1,2
617081733,53,1,23452,3,211892673,2,3
617081756,55,1,23452,3,211892680,2,1
617081569,36,1,23452,2,211892618,2,1
617081712,19,1,23452,3,211892667,5,3
617081674,34,1,23452,3,211892654,4,3
617081434,58,1,23452,3,211892574,2,1
613148762,65,1,22728,2,210278218,2,1
617729931,30,1,23322,2,212153087,2,2
617730035,65,1,23322,2,212153130,1,2
617729558,28,1,23322,3,212152952,4,3
617730553,92,1,23322,3,212153328,3,2
616686959,35,1,24609,2,211721521,2,1
616687315,50,1,24609,3,211721660,3,3
616688040,40,1,24609,3,211721952,2,2
617706793,63,1,23320,2,212144829,2,1
617705062,28,1,23320,3,212144096,4,3
617708302,25,1,23320,2,212145455,2,3
617194304,35,1,23456,3,211941147,4,2
617193648,62,1,23456,2,211940940,3,2
617194588,47,1,23456,3,211941232,4,2
617193955,40,1,23456,3,211941036,4,1
617193455,41,1,23456,2,211940880,2,1
613148073,46,1,22728,3,210277996,2,1
613149097,20,1,22728,3,210278335,3,3
613150723,49,1,22728,3,210278878,4,2
613149776,53,1,22728,2,210278562,2,3
613149529,70,1,22728,3,210278478,2,1
617730923,60,1,23322,3,212153476,2,2
617729403,54,1,23322,2,212152895,3,2
617730106,57,1,23322,2,212153162,2,3
617729302,71,1,23322,2,212152850,2,1
617729323,52,1,23322,3,212152861,4,2
617729683,45,1,23322,3,212152994,3,3
616664245,36,1,24263,2,211711753,1,1
617188882,28,1,23456,1,211939067,2,3
617191278,29,1,23456,2,211940213,2,1
617189871,55,1,23456,2,211939554,1,1
617188643,34,1,23456,3,211938955,3,1
617191413,60,1,23456,3,211940277,2,2
615462587,56,1,24019,2,211207673,2,3
615458985,64,1,24019,2,211206223,2,1
615462949,71,1,24019,3,211207823,2,1
615461380,35,1,24019,2,211207186,2,1
617193482,27,1,23456,2,211940889,2,3
617195089,21,1,23456,3,211941392,4,1
613149211,49,1,22728,2,210278375,2,1
613149298,58,1,22728,3,210278400,3,2
617191405,38,1,23456,2,211940273,1,1
617189988,28,1,23456,3,211939601,1,1
617190734,48,1,23456,2,211939956,1,1
617189285,38,1,23456,3,211939268,2,2
617190890,26,1,23456,2,211940030,1,1
617189401,24,1,23456,2,211939328,3,2
617190202,43,1,23456,2,211939700,4,1
617189662,36,1,23456,2,211939453,1,1
615460123,18,1,24019,3,211206697,5,3
615460100,26,1,24019,3,211206689,2,1
615461543,30,1,24019,2,211207251,2,2
615459551,25,1,24019,1,211206451,2,3
615461809,61,1,24019,3,211207351,2,2
615462270,56,1,24019,3,211207541,3,2
617192155,37,1,23456,2,211940498,1,1
617192574,24,1,23456,2,211940621,7,3
364586111,91,1,95415,2,111623407,1,1
364586127,55,1,95415,2,111623413,2,1
364586143,56,1,95415,2,111623420,2,3
364586314,56,1,95415,2,111623492,1,1
364586355,50,1,95415,2,111623511,2,3
364586446,55,1,95415,3,111623553,2,1
364586691,53,1,95482,3,111623654,2,3
364587132,75,1,95482,3,111623809,1,1
364587158,75,1,95482,2,111623817,1,1
364523346,60,1,95461,2,111597200,2,2
364524041,61,1,95461,2,111597450,2,2
364524115,56,1,95461,2,111597474,2,3
364524168,60,1,95461,2,111597494,2,2
364543482,35,1,95437,2,111605541,2,1
364562545,52,1,95470,3,111613354,3,3
364562690,91,1,95470,2,111613406,1,1
364562858,75,1,95470,2,111613468,2,1
364563087,51,1,95482,3,111613554,3,3
364563194,27,1,95482,2,111613590,3,2
364563214,36,1,95482,3,111613596,5,3
364563499,51,1,95482,3,111613699,2,3
364563509,25,1,95482,1,111613704,1,1
364563746,33,1,95482,3,111613792,3,1
364584800,36,1,95482,3,111622860,3,3
364584818,28,1,95482,2,111622864,2,3
364584985,45,1,95482,1,111622937,2,1
364585044,58,1,95482,2,111622963,2,1
364585121,30,1,95494,2,111622991,3,1
364585691,66,1,95494,1,111623231,2,1
364585856,62,1,95494,1,111623302,2,2
364585912,54,1,95494,2,111623329,2,2
364585942,79,1,95494,1,111623342,1,1
364521966,63,1,95461,2,111596635,1,2
364522154,36,1,95461,2,111596725,3,3
364522193,27,1,95461,2,111596742,1,1
364522273,29,1,95461,2,111596776,3,3
364522406,50,1,95461,2,111596840,1,1
364522831,82,1,95461,2,111597016,2,1
364522890,64,1,95461,3,111597036,2,1
364522921,52,1,95461,1,111597049,2,3
364541852,55,1,95437,2,111604770,1,1
364541923,41,1,95437,1,111604804,1,1
364542041,79,1,95437,2,111604860,1,1
364542070,27,1,95437,1,111604875,3,2
364542086,41,1,95437,2,111604881,1,1
364542306,83,1,95437,1,111604990,1,1
364542440,53,1,95437,1,111605055,1,1
364543081,32,1,95437,2,111605361,1,2
364563977,61,1,95482,2,111613879,2,2
364564136,60,1,95482,3,111613932,3,2
364564170,18,1,95482,2,111613946,5,3
364564337,53,1,95482,2,111614006,2,3
364564499,25,1,95482,1,111614072,1,1
364564662,70,1,95470,2,111614137,1,2
364564958,19,1,95470,3,111614244,3,3
364562673,58,1,95470,3,111613400,2,1
364563065,56,1,95482,3,111613546,3,2
364563292,52,1,95482,2,111613621,2,3
364563381,54,1,95482,3,111613653,2,2
364563604,46,1,95482,2,111613740,4,1
364563803,55,1,95482,3,111613815,1,1
364584723,40,1,95482,1,111622820,1,1
364584787,58,1,95482,1,111622850,2,1
364585320,85,1,95494,2,111623076,2,1
364585488,41,1,95494,2,111623154,3,2
364585565,39,1,95494,1,111623180,4,1
364585735,53,1,95494,1,111623251,1,1
364521887,41,1,95461,2,111596603,2,1
364522197,28,1,95461,2,111596744,1,1
364522334,55,1,95461,1,111596807,2,1
364522460,35,1,95461,3,111596866,3,3
364522576,60,1,95461,3,111596920,2,2
364522592,76,1,95461,2,111596927,2,1
364522856,60,1,95461,2,111597024,1,1
364522899,47,1,95461,3,111597039,2,2
364541867,58,1,95437,1,111604775,2,1
364541916,93,1,95437,1,111604800,1,1
364542012,43,1,95437,2,111604846,2,2
364542056,55,1,95437,2,111604867,2,1
364542064,76,1,95437,1,111604871,2,1
364542460,52,1,95437,2,111605062,3,3
364542709,53,1,95437,1,111605180,1,1
364542780,52,1,95437,2,111605217,1,1
