PID,AGEP,SEX,PERSONS,HINCP,BIN
5xf1x4mjjw0sb1bf6r8byehi7vjr6cgv,22,Male,4,25000 - 74999,high
ggh785xk2dmsjq6k5cx3fjz5ibtxof0g,52,Male,4,25000 - 74999,medium
jx9b62tpb43p9cdjtgmqnlyo2x0o9dob,51,Female,2,25000 - 74999,high
0y61yx2v4lsabnh1n8l51qsn17owluju,28,Female,2,75000 or more,high
mpmyo0m07bpo5tkg9ii7g1l9wex1jewr,49,Female,2,0 - 24999,low
6novs8qfyd4c0r71p2kh6cu5pwk5qmqq,65,Female,1,25000 - 74999,medium
5rlk6tpbgsd1p0yyiea6ohjhe34otya2,41,Male,4,75000 or more,low
vthxb9dnpv5c6uxny75vhvks4qz1nt1n,53,Female,4,75000 or more,medium
yb2xr0as9pintczpk8hhnib9v592lewq,21,Male,1,75000 or more,medium
myhvz4reu3pqc1cjpylwpflnir0l0c0u,23,Male,3,0 - 24999,medium
s6x58df8mk5a6s24fpnz4x3ynw4rtxe1,28,Female,1,25000 - 74999,low
0z9ougc012klbyk5lczwhki2rsquxmmu,36,Male,1,0 - 24999,low
p6l41t3g36rw6sjfqtv3fsuzwfn4hoh4,32,Male,2,25000 - 74999,low
yhkkec71z3k6mq7c9kly6qid0qargpy6,25,Female,2,25000 - 74999,high
ni9e5d16xwa280e28175pfphtj3jfttb,23,Male,5,75000 or more,high
59ve9d8jzfvdn3dsa9xr1khl7zi5sbt8,66,Female,2,75000 or more,low
s3aw6ahxyavzbrzw8ycqpttmosyq61hs,31,Male,3,25000 - 74999,high
pez320gp28ywtrb3vlkn6u3iwanh689k,60,Male,2,0 - 24999,high
wlvcwk3sv1ab5ei3bwg126a2taqfgsdv,30,Male,4,75000 or more,low
kl8g24x0yjboxfh89dpj3z07q4sck9xx,33,Male,3,75000 or more,low
711xbsmvtmezuhkac4a4h0j1yx0m1uf7,30,Male,1,75000 or more,medium
ds6nuf9b0i8ik05paa72t71una49x096,26,Female,2,75000 or more,low
xlv84o26jz5rqrpp4m8lt3lcs4lavtie,33,Male,2,75000 or more,medium
nh4tbiercruoeuv1vohojy34d80lqjfq,29,Male,4,25000 - 74999,medium
lyy1ropvxsa3xy2lzdcu4mnefrz2kvkd,36,Female,2,75000 or more,low
